timestamp_ms,equity
1694427660000,428.3423
1694590680000,429.7793
1694652360000,431.2166
1694745480000,433.4004
1694830200000,435.6063
1695091200000,436.9101
1695092640000,438.3953
1695117720000,439.8328
1695601320000,435.9409
1695601320000,433.6316
1695972780000,435.0853
1696021440000,436.5642
1696138920000,438.0526
1696198620000,439.549
1696255860000,435.6479
1696271940000,433.3313
1696373940000,434.8198
1696399980000,435.4496
1696639380000,436.9512
1696844940000,433.0874
1696845000000,429.1957
1697431620000,429.8303
1697462880000,430.4618
1697547660000,426.6857
1697550480000,423.1011
1697650980000,424.4163
1697679840000,420.6298
1697679840000,416.8511
1697749380000,420.2776
1697749620000,422.5273
1697787660000,424.5826
1697790360000,426.6381
1697790420000,427.2797
1697815200000,429.369
1697869800000,431.5
1697896560000,433.6517
1697953020000,435.8226
1697992020000,437.2432
1698015300000,438.704
1698030000000,442.397
1698093420000,444.6391
1698146340000,446.9392
1698867120000,442.932
1698913560000,445.2174
1699512660000,445.8791
1701671520000,447.4183
1701678420000,448.0847
1703577720000,449.6322
1704040740000,450.303
1704153600000,451.002
1704178800000,451.7443
1704419340000,447.6997
1704666900000,443.865
1704680220000,439.8272
1704738900000,441.3861
1704738900000,443.7722
1704740400000,446.6254
1704821520000,452.6632
1704821580000,453.9003
1704846780000,455.4062
1704879180000,456.8066
1704891300000,452.794
1704913200000,454.6783
1704915720000,457.0121
1704945120000,460.9063
1705054140000,463.2853
1705073940000,459.1735
1706401140000,460.7477
1706413560000,462.3224
1706422980000,468.6436
1706543520000,470.2399
1706602980000,471.874
1706659620000,467.5732
1706736300000,463.3482
1706856180000,465.7509
1706879220000,466.4682
1707110280000,468.0167
1707324060000,469.6757
1707324900000,471.2734
1707350520000,472.7176
1707359700000,473.4313
1707446820000,475.0782
1707480600000,477.5454
1707516060000,480.0355
1707619140000,480.7725
1707765600000,482.4481
1707888300000,484.0773
1709619000000,485.5599
1709729160000,481.1168
1710213000000,483.6431
1710371100000,484.3926
1710445380000,481.6934
1710774840000,478.9945
1711644480000,479.7149
1712365200000,481.1825
1712376000000,482.6188
1712443860000,483.3416
1712803560000,485.0367
1713765600000,487.6053
1713968460000,483.1234
1713968760000,478.677
1713976140000,474.1923
1714955280000,474.941
1714970940000,476.5822
1714973940000,478.2252
1715041200000,473.9674
1715725200000,469.7379
1715776260000,470.4863
1715779980000,476.8858
1715789400000,480.8587
1715789640000,481.6129
1715789820000,483.2489
1715822040000,487.4338
1715929980000,489.1211
1716044580000,493.4351
1716233580000,495.19
1716242100000,496.8397
1716453360000,492.3901
1716468960000,489.6819
1716790920000,485.1483
1717512660000,485.8941
1717565340000,487.3845
1718673780000,484.6543
1720010040000,480.2041
1720517460000,480.9476
1720877220000,485.17
1721050860000,487.7404
1721068020000,490.3136
1721087220000,494.6472
1721142480000,497.2661
1721191980000,498.9823
1721232960000,494.3416
1721457420000,497.0079
1721567580000,498.7844
1721574240000,501.4747
1721609280000,503.2532
1721753040000,500.5835
1721797620000,497.9011
1722008700000,500.6554
1722049200000,502.8259
1722258000000,506.1073
1722266100000,501.2726
1722440460000,496.5102
1722526080000,493.8236
1723158660000,501.128
1723206540000,496.2673
1723213920000,491.5271
1723298460000,493.3703
1723300800000,500.4327
1723339200000,495.5829
1723404360000,490.8637
1723408680000,486.0104
1723564560000,487.8367
1723613460000,488.5319
1723702920000,484.0654
1723744920000,479.4722
1724115720000,481.1986
1724262420000,482.926
1724320500000,484.3856
1724427660000,486.1356
1724479200000,489.7098
1726036980000,490.4184
1726065840000,485.7895
1726076760000,487.5745
1726100700000,491.8154
1726241040000,493.6065
1726249560000,495.3894
1726358760000,497.2076
1726684500000,499.0377
1726702020000,500.8649
1726705500000,508.219
1726895880000,510.1168
1727101140000,512.9906
1727137920000,513.7046
1727174760000,514.4188
1727208420000,516.3339
1727408640000,518.1408
1727611260000,518.8502
1727795040000,516.2604
1728302400000,519.6682
1728405840000,521.6277
1728744600000,523.6085
1728750240000,525.6033
1728813000000,527.5981
1728915900000,530.6483
1728988260000,532.6824
1729026060000,530.1356
1729188360000,527.5874
1729738200000,528.2983
1729738200000,530.3664
1729898640000,527.9216
1730134920000,522.5352
1730160000000,524.9508
1730167740000,527.0323
1730167920000,529.1126
1730168220000,531.435
1730200500000,536.3689
1730862360000,544.7823
1730877960000,550.0431
1730881380000,544.3495
1730906280000,547.5891
1730924580000,551.9665
1731228660000,554.0726
1731231780000,554.7697
1733777520000,549.0099
1733970240000,552.2873
1733971380000,555.5505
1733972160000,558.8221
1733980800000,567.8131
1734131040000,570.1217
1734312000000,572.3669
1734341640000,574.6888
1734445320000,576.9324
1734860520000,578.3324
1735740120000,580.6988
1736179800000,583.0828
1736215200000,584.1226
1736755980000,581.5539
1736926080000,585.1525
1736953200000,590.6182
1736985300000,596.7703
1737146100000,599.2253
